threshold,p.value,estimate,data_type,corpus
0.01,  NA,    NA,target,French
0.02,  NA,    NA,target,French
0.03,  NA,    NA,target,French
0.04,0.00,-0.134,target,French
0.05,0.61, 0.020,target,French
0.06,0.43, 0.031,target,French
0.07,0.28, 0.042,target,French
0.08,0.15, 0.053,target,French
0.09,0.73,-0.012,target,French
0.1,0.01,-0.094,target,French
0.11,0.00,-0.128,target,French
0.12,0.00,-0.138,target,French
0.13,0.00,-0.139,target,French
0.14,0.00,-0.141,target,French
0.15,0.00,-0.143,target,French
0.16,0.00,-0.150,target,French
0.17,0.00,-0.145,target,French
0.18,0.00,-0.138,target,French
0.19,0.00,-0.135,target,French
0.2,0.00,-0.132,target,French
0.21,0.00,-0.156,target,French
0.22,0.00,-0.166,target,French
0.23,0.00,-0.166,target,French
0.24,0.00,-0.174,target,French
0.25,0.00,-0.179,target,French
0.26,0.00,-0.183,target,French
0.27,0.00,-0.189,target,French
0.28,0.00,-0.189,target,French
0.29,0.00,-0.187,target,French
0.3,0.00,-0.188,target,French
0.31,0.00,-0.194,target,French
0.32,0.00,-0.200,target,French
0.33,0.00,-0.201,target,French
0.34,0.00,-0.202,target,French
0.35,0.00,-0.202,target,French
0.36,0.00,-0.204,target,French
0.37,0.00,-0.205,target,French
0.38,0.00,-0.206,target,French
0.39,0.00,-0.206,target,French
0.4,0.00,-0.209,target,French
0.41,0.00,-0.213,target,French
0.42,0.00,-0.218,target,French
0.43,0.00,-0.221,target,French
0.44,0.00,-0.224,target,French
0.45,0.00,-0.224,target,French
0.46,0.00,-0.222,target,French
0.47,0.00,-0.220,target,French
0.48,0.00,-0.215,target,French
0.49,0.00,-0.212,target,French
0.5,0.00,-0.207,target,French
0.51,0.00,-0.204,target,French
0.52,0.00,-0.201,target,French
0.53,0.00,-0.197,target,French
0.54,0.00,-0.193,target,French
0.55,0.00,-0.186,target,French
0.56,0.00,-0.182,target,French
0.57,0.00,-0.175,target,French
0.58,0.00,-0.168,target,French
0.59,0.00,-0.163,target,French
0.6,0.00,-0.157,target,French
0.61,0.00,-0.153,target,French
0.62,0.00,-0.149,target,French
0.63,0.00,-0.147,target,French
0.64,0.00,-0.144,target,French
0.65,0.00,-0.142,target,French
0.66,0.00,-0.141,target,French
0.67,0.00,-0.139,target,French
0.68,0.00,-0.137,target,French
0.69,0.00,-0.137,target,French
0.7,0.00,-0.136,target,French
0.71,0.00,-0.135,target,French
0.72,0.00,-0.135,target,French
0.73,0.00,-0.133,target,French
0.74,0.00,-0.133,target,French
0.75,0.00,-0.132,target,French
0.76,0.00,-0.132,target,French
0.77,0.00,-0.132,target,French
0.78,0.00,-0.132,target,French
0.79,0.00,-0.132,target,French
0.8,0.00,-0.132,target,French
0.81,0.00,-0.132,target,French
0.82,0.00,-0.132,target,French
0.83,0.00,-0.131,target,French
0.84,0.00,-0.131,target,French
0.85,0.00,-0.131,target,French
0.86,0.00,-0.131,target,French
0.87,0.00,-0.131,target,French
0.88,0.00,-0.130,target,French
0.89,0.00,-0.130,target,French
0.9,0.00,-0.130,target,French
0.91,0.00,-0.130,target,French
0.92,0.00,-0.130,target,French
0.93,0.00,-0.130,target,French
0.94,0.00,-0.130,target,French
0.95,0.00,-0.130,target,French
0.96,0.00,-0.130,target,French
0.97,0.00,-0.130,target,French
0.98,0.00,-0.130,target,French
0.99,0.00,-0.130,target,French
1,0.00,-0.130,target,French
0.01,0.30, 0.047,actual,French
0.02,0.43,-0.035,actual,French
0.03,0.02,-0.101,actual,French
0.04,0.26,-0.046,actual,French
0.05,0.22,-0.048,actual,French
0.06,0.12,-0.057,actual,French
0.07,0.28,-0.039,actual,French
0.08,0.13,-0.052,actual,French
0.09,0.01,-0.083,actual,French
0.1,0.00,-0.111,actual,French
0.11,0.00,-0.123,actual,French
0.12,0.00,-0.117,actual,French
0.13,0.00,-0.113,actual,French
0.14,0.00,-0.125,actual,French
0.15,0.00,-0.117,actual,French
0.16,0.00,-0.112,actual,French
0.17,0.00,-0.118,actual,French
0.18,0.00,-0.123,actual,French
0.19,0.00,-0.123,actual,French
0.2,0.00,-0.126,actual,French
0.21,0.00,-0.144,actual,French
0.22,0.00,-0.156,actual,French
0.23,0.00,-0.162,actual,French
0.24,0.00,-0.175,actual,French
0.25,0.00,-0.190,actual,French
0.26,0.00,-0.205,actual,French
0.27,0.00,-0.211,actual,French
0.28,0.00,-0.222,actual,French
0.29,0.00,-0.229,actual,French
0.3,0.00,-0.239,actual,French
0.31,0.00,-0.244,actual,French
0.32,0.00,-0.255,actual,French
0.33,0.00,-0.276,actual,French
0.34,0.00,-0.286,actual,French
0.35,0.00,-0.286,actual,French
0.36,0.00,-0.285,actual,French
0.37,0.00,-0.285,actual,French
0.38,0.00,-0.284,actual,French
0.39,0.00,-0.280,actual,French
0.4,0.00,-0.279,actual,French
0.41,0.00,-0.276,actual,French
0.42,0.00,-0.277,actual,French
0.43,0.00,-0.271,actual,French
0.44,0.00,-0.262,actual,French
0.45,0.00,-0.257,actual,French
0.46,0.00,-0.249,actual,French
0.47,0.00,-0.243,actual,French
0.48,0.00,-0.236,actual,French
0.49,0.00,-0.230,actual,French
0.5,0.00,-0.224,actual,French
0.51,0.00,-0.219,actual,French
0.52,0.00,-0.212,actual,French
0.53,0.00,-0.205,actual,French
0.54,0.00,-0.198,actual,French
0.55,0.00,-0.192,actual,French
0.56,0.00,-0.189,actual,French
0.57,0.00,-0.186,actual,French
0.58,0.00,-0.181,actual,French
0.59,0.00,-0.179,actual,French
0.6,0.00,-0.174,actual,French
0.61,0.00,-0.172,actual,French
0.62,0.00,-0.170,actual,French
0.63,0.00,-0.168,actual,French
0.64,0.00,-0.167,actual,French
0.65,0.00,-0.166,actual,French
0.66,0.00,-0.163,actual,French
0.67,0.00,-0.161,actual,French
0.68,0.00,-0.159,actual,French
0.69,0.00,-0.158,actual,French
0.7,0.00,-0.157,actual,French
0.71,0.00,-0.156,actual,French
0.72,0.00,-0.154,actual,French
0.73,0.00,-0.154,actual,French
0.74,0.00,-0.154,actual,French
0.75,0.00,-0.153,actual,French
0.76,0.00,-0.153,actual,French
0.77,0.00,-0.153,actual,French
0.78,0.00,-0.153,actual,French
0.79,0.00,-0.153,actual,French
0.8,0.00,-0.153,actual,French
0.81,0.00,-0.153,actual,French
0.82,0.00,-0.152,actual,French
0.83,0.00,-0.152,actual,French
0.84,0.00,-0.152,actual,French
0.85,0.00,-0.152,actual,French
0.86,0.00,-0.152,actual,French
0.87,0.00,-0.152,actual,French
0.88,0.00,-0.152,actual,French
0.89,0.00,-0.152,actual,French
0.9,0.00,-0.152,actual,French
0.91,0.00,-0.152,actual,French
0.92,0.00,-0.152,actual,French
0.93,0.00,-0.152,actual,French
0.94,0.00,-0.152,actual,French
0.95,0.00,-0.152,actual,French
0.96,0.00,-0.152,actual,French
0.97,0.00,-0.152,actual,French
0.98,0.00,-0.152,actual,French
0.99,0.00,-0.151,actual,French
1,0.00,-0.151,actual,French
0.01,  NA,    NA,target,English
0.02,0.00,-0.189,target,English
0.03,0.00,-0.111,target,English
0.04,0.03,-0.070,target,English
0.05,0.03,-0.066,target,English
0.06,0.04,-0.060,target,English
0.07,0.06,-0.056,target,English
0.08,0.06,-0.053,target,English
0.09,0.00,-0.077,target,English
0.1,0.00,-0.089,target,English
0.11,0.00,-0.140,target,English
0.12,0.00,-0.170,target,English
0.13,0.00,-0.196,target,English
0.14,0.00,-0.196,target,English
0.15,0.00,-0.195,target,English
0.16,0.00,-0.192,target,English
0.17,0.00,-0.180,target,English
0.18,0.00,-0.175,target,English
0.19,0.00,-0.173,target,English
0.2,0.00,-0.175,target,English
0.21,0.00,-0.187,target,English
0.22,0.00,-0.195,target,English
0.23,0.00,-0.210,target,English
0.24,0.00,-0.219,target,English
0.25,0.00,-0.227,target,English
0.26,0.00,-0.225,target,English
0.27,0.00,-0.230,target,English
0.28,0.00,-0.232,target,English
0.29,0.00,-0.234,target,English
0.3,0.00,-0.235,target,English
0.31,0.00,-0.235,target,English
0.32,0.00,-0.243,target,English
0.33,0.00,-0.252,target,English
0.34,0.00,-0.264,target,English
0.35,0.00,-0.273,target,English
0.36,0.00,-0.282,target,English
0.37,0.00,-0.288,target,English
0.38,0.00,-0.292,target,English
0.39,0.00,-0.298,target,English
0.4,0.00,-0.303,target,English
0.41,0.00,-0.306,target,English
0.42,0.00,-0.308,target,English
0.43,0.00,-0.312,target,English
0.44,0.00,-0.318,target,English
0.45,0.00,-0.324,target,English
0.46,0.00,-0.328,target,English
0.47,0.00,-0.333,target,English
0.48,0.00,-0.338,target,English
0.49,0.00,-0.341,target,English
0.5,0.00,-0.342,target,English
0.51,0.00,-0.343,target,English
0.52,0.00,-0.340,target,English
0.53,0.00,-0.338,target,English
0.54,0.00,-0.337,target,English
0.55,0.00,-0.336,target,English
0.56,0.00,-0.336,target,English
0.57,0.00,-0.336,target,English
0.58,0.00,-0.336,target,English
0.59,0.00,-0.335,target,English
0.6,0.00,-0.335,target,English
0.61,0.00,-0.334,target,English
0.62,0.00,-0.332,target,English
0.63,0.00,-0.330,target,English
0.64,0.00,-0.328,target,English
0.65,0.00,-0.327,target,English
0.66,0.00,-0.326,target,English
0.67,0.00,-0.325,target,English
0.68,0.00,-0.324,target,English
0.69,0.00,-0.322,target,English
0.7,0.00,-0.321,target,English
0.71,0.00,-0.320,target,English
0.72,0.00,-0.319,target,English
0.73,0.00,-0.318,target,English
0.74,0.00,-0.317,target,English
0.75,0.00,-0.316,target,English
0.76,0.00,-0.315,target,English
0.77,0.00,-0.314,target,English
0.78,0.00,-0.314,target,English
0.79,0.00,-0.313,target,English
0.8,0.00,-0.313,target,English
0.81,0.00,-0.313,target,English
0.82,0.00,-0.312,target,English
0.83,0.00,-0.312,target,English
0.84,0.00,-0.312,target,English
0.85,0.00,-0.312,target,English
0.86,0.00,-0.312,target,English
0.87,0.00,-0.312,target,English
0.88,0.00,-0.312,target,English
0.89,0.00,-0.312,target,English
0.9,0.00,-0.311,target,English
0.91,0.00,-0.311,target,English
0.92,0.00,-0.311,target,English
0.93,0.00,-0.311,target,English
0.94,0.00,-0.311,target,English
0.95,0.00,-0.311,target,English
0.96,0.00,-0.311,target,English
0.97,0.00,-0.311,target,English
0.98,0.00,-0.311,target,English
0.99,0.00,-0.311,target,English
1,0.00,-0.311,target,English
0.01,0.22,-0.049,actual,English
0.02,0.00,-0.153,actual,English
0.03,0.00,-0.199,actual,English
0.04,0.00,-0.136,actual,English
0.05,0.00,-0.109,actual,English
0.06,0.00,-0.100,actual,English
0.07,0.01,-0.080,actual,English
0.08,0.00,-0.081,actual,English
0.09,0.00,-0.085,actual,English
0.1,0.00,-0.127,actual,English
0.11,0.00,-0.153,actual,English
0.12,0.00,-0.151,actual,English
0.13,0.00,-0.148,actual,English
0.14,0.00,-0.165,actual,English
0.15,0.00,-0.166,actual,English
0.16,0.00,-0.163,actual,English
0.17,0.00,-0.166,actual,English
0.18,0.00,-0.171,actual,English
0.19,0.00,-0.182,actual,English
0.2,0.00,-0.195,actual,English
0.21,0.00,-0.209,actual,English
0.22,0.00,-0.221,actual,English
0.23,0.00,-0.236,actual,English
0.24,0.00,-0.243,actual,English
0.25,0.00,-0.256,actual,English
0.26,0.00,-0.271,actual,English
0.27,0.00,-0.284,actual,English
0.28,0.00,-0.294,actual,English
0.29,0.00,-0.302,actual,English
0.3,0.00,-0.313,actual,English
0.31,0.00,-0.325,actual,English
0.32,0.00,-0.335,actual,English
0.33,0.00,-0.346,actual,English
0.34,0.00,-0.355,actual,English
0.35,0.00,-0.365,actual,English
0.36,0.00,-0.369,actual,English
0.37,0.00,-0.374,actual,English
0.38,0.00,-0.378,actual,English
0.39,0.00,-0.383,actual,English
0.4,0.00,-0.387,actual,English
0.41,0.00,-0.395,actual,English
0.42,0.00,-0.402,actual,English
0.43,0.00,-0.412,actual,English
0.44,0.00,-0.417,actual,English
0.45,0.00,-0.420,actual,English
0.46,0.00,-0.421,actual,English
0.47,0.00,-0.421,actual,English
0.48,0.00,-0.419,actual,English
0.49,0.00,-0.417,actual,English
0.5,0.00,-0.414,actual,English
0.51,0.00,-0.414,actual,English
0.52,0.00,-0.413,actual,English
0.53,0.00,-0.412,actual,English
0.54,0.00,-0.411,actual,English
0.55,0.00,-0.410,actual,English
0.56,0.00,-0.408,actual,English
0.57,0.00,-0.406,actual,English
0.58,0.00,-0.403,actual,English
0.59,0.00,-0.401,actual,English
0.6,0.00,-0.400,actual,English
0.61,0.00,-0.398,actual,English
0.62,0.00,-0.397,actual,English
0.63,0.00,-0.396,actual,English
0.64,0.00,-0.395,actual,English
0.65,0.00,-0.395,actual,English
0.66,0.00,-0.394,actual,English
0.67,0.00,-0.394,actual,English
0.68,0.00,-0.393,actual,English
0.69,0.00,-0.393,actual,English
0.7,0.00,-0.392,actual,English
0.71,0.00,-0.392,actual,English
0.72,0.00,-0.392,actual,English
0.73,0.00,-0.392,actual,English
0.74,0.00,-0.392,actual,English
0.75,0.00,-0.391,actual,English
0.76,0.00,-0.391,actual,English
0.77,0.00,-0.391,actual,English
0.78,0.00,-0.391,actual,English
0.79,0.00,-0.391,actual,English
0.8,0.00,-0.391,actual,English
0.81,0.00,-0.391,actual,English
0.82,0.00,-0.391,actual,English
0.83,0.00,-0.391,actual,English
0.84,0.00,-0.391,actual,English
0.85,0.00,-0.391,actual,English
0.86,0.00,-0.391,actual,English
0.87,0.00,-0.391,actual,English
0.88,0.00,-0.391,actual,English
0.89,0.00,-0.391,actual,English
0.9,0.00,-0.391,actual,English
0.91,0.00,-0.391,actual,English
0.92,0.00,-0.391,actual,English
0.93,0.00,-0.391,actual,English
0.94,0.00,-0.391,actual,English
0.95,0.00,-0.391,actual,English
0.96,0.00,-0.391,actual,English
0.97,0.00,-0.391,actual,English
0.98,0.00,-0.391,actual,English
0.99,0.00,-0.391,actual,English
1,0.00,-0.391,actual,English
